country,date,confirmed,deaths,recovered
Brazil,"Aug 15, 2020 @ 00:00:00.000",3275520,106523,2616981
Brazil,"Aug 16, 2020 @ 00:00:00.000",3317096,107232,2622878
Brazil,"Aug 17, 2020 @ 00:00:00.000",3340197,107852,2655017
Brazil,"Aug 18, 2020 @ 00:00:00.000",3359570,108536,2699080
Brazil,"Aug 19, 2020 @ 00:00:00.000",3407354,109888,2751246
Brazil,"Aug 20, 2020 @ 00:00:00.000",3456652,111100,2801931
Brazil,"Aug 21, 2020 @ 00:00:00.000",3501975,112304,2844318
Brazil,"Aug 22, 2020 @ 00:00:00.000",3532330,113358,2855558
Brazil,"Aug 23, 2020 @ 00:00:00.000",3582362,114250,2913966
Brazil,"Jan 23, 2020 @ 00:00:00.000",0,0,0
Brazil,"Jan 24, 2020 @ 00:00:00.000",0,0,0
Brazil,"Jan 25, 2020 @ 00:00:00.000",0,0,0
Brazil,"Jan 26, 2020 @ 00:00:00.000",0,0,0
Brazil,"Jan 27, 2020 @ 00:00:00.000",0,0,0
Brazil,"Jan 28, 2020 @ 00:00:00.000",0,0,0
Brazil,"Jan 29, 2020 @ 00:00:00.000",0,0,0
Brazil,"Jan 30, 2020 @ 00:00:00.000",0,0,0
Brazil,"Jan 31, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 1, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 2, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 3, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 4, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 5, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 6, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 7, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 8, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 9, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 10, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 11, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 12, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 13, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 14, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 15, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 16, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 17, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 18, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 19, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 20, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 21, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 22, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 23, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 24, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 25, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 26, 2020 @ 00:00:00.000",0,0,0
Brazil,"Feb 27, 2020 @ 00:00:00.000",1,0,0
Brazil,"Feb 28, 2020 @ 00:00:00.000",1,0,0
Brazil,"Feb 29, 2020 @ 00:00:00.000",1,0,0
Brazil,"Mar 1, 2020 @ 00:00:00.000",2,0,0
Brazil,"Mar 2, 2020 @ 00:00:00.000",2,0,0
Brazil,"Mar 3, 2020 @ 00:00:00.000",2,0,0
Brazil,"Mar 4, 2020 @ 00:00:00.000",2,0,0
Brazil,"Mar 5, 2020 @ 00:00:00.000",4,0,0
Brazil,"Mar 6, 2020 @ 00:00:00.000",4,0,0
Brazil,"Mar 7, 2020 @ 00:00:00.000",13,0,0
Brazil,"Mar 8, 2020 @ 00:00:00.000",13,0,0
Brazil,"Mar 9, 2020 @ 00:00:00.000",20,0,0
Brazil,"Mar 10, 2020 @ 00:00:00.000",25,0,0
Brazil,"Mar 11, 2020 @ 00:00:00.000",31,0,0
Brazil,"Mar 12, 2020 @ 00:00:00.000",38,0,0
Brazil,"Mar 13, 2020 @ 00:00:00.000",52,0,0
Brazil,"Mar 14, 2020 @ 00:00:00.000",151,0,0
Brazil,"Mar 15, 2020 @ 00:00:00.000",151,0,0
Brazil,"Mar 16, 2020 @ 00:00:00.000",162,0,0
Brazil,"Mar 17, 2020 @ 00:00:00.000",200,0,1
Brazil,"Mar 18, 2020 @ 00:00:00.000",321,1,2
Brazil,"Mar 19, 2020 @ 00:00:00.000",372,3,2
Brazil,"Mar 20, 2020 @ 00:00:00.000",621,6,2
Brazil,"Mar 21, 2020 @ 00:00:00.000",793,11,2
Brazil,"Mar 22, 2020 @ 00:00:00.000",1021,15,2
Brazil,"Mar 23, 2020 @ 00:00:00.000",1546,25,2
Brazil,"Mar 24, 2020 @ 00:00:00.000",1924,34,2
Brazil,"Mar 25, 2020 @ 00:00:00.000",2247,46,2
Brazil,"Mar 26, 2020 @ 00:00:00.000",2554,59,2
Brazil,"Mar 27, 2020 @ 00:00:00.000",2985,77,6
Brazil,"Mar 28, 2020 @ 00:00:00.000",3417,92,6
Brazil,"Mar 29, 2020 @ 00:00:00.000",3904,111,6
Brazil,"Mar 30, 2020 @ 00:00:00.000",4256,136,6
Brazil,"Mar 31, 2020 @ 00:00:00.000",4579,159,120
Brazil,"Apr 1, 2020 @ 00:00:00.000",5717,201,127
Brazil,"Apr 2, 2020 @ 00:00:00.000",6836,240,127
Brazil,"Apr 3, 2020 @ 00:00:00.000",8044,324,127
Brazil,"Apr 4, 2020 @ 00:00:00.000",9056,359,127
Brazil,"Apr 5, 2020 @ 00:00:00.000",10360,445,127
Brazil,"Apr 6, 2020 @ 00:00:00.000",11130,486,127
Brazil,"Apr 7, 2020 @ 00:00:00.000",12161,564,127
Brazil,"Apr 8, 2020 @ 00:00:00.000",14034,686,127
Brazil,"Apr 9, 2020 @ 00:00:00.000",16170,819,127
Brazil,"Apr 10, 2020 @ 00:00:00.000",18092,950,173
Brazil,"Apr 11, 2020 @ 00:00:00.000",19638,1057,173
