country,date,confirmed,deaths,recovered
Germany,"Jun 18, 2020 @ 00:00:00.000",188604,8851,173599
Germany,"Jun 19, 2020 @ 00:00:00.000",189817,8875,173847
Germany,"Jun 20, 2020 @ 00:00:00.000",190299,8887,173972
Germany,"Jun 21, 2020 @ 00:00:00.000",190670,8895,174609
Germany,"Jun 22, 2020 @ 00:00:00.000",191272,8895,174740
Germany,"Jun 23, 2020 @ 00:00:00.000",191768,8899,175143
Germany,"Jun 24, 2020 @ 00:00:00.000",192480,8914,175825
Germany,"Jun 25, 2020 @ 00:00:00.000",192871,8928,176422
Germany,"Jun 26, 2020 @ 00:00:00.000",193371,8940,176764
Germany,"Jun 27, 2020 @ 00:00:00.000",194036,8965,177149
Germany,"Jun 28, 2020 @ 00:00:00.000",194458,8968,177518
Germany,"Jun 29, 2020 @ 00:00:00.000",194693,8968,177657
Germany,"Jun 30, 2020 @ 00:00:00.000",195042,8976,177770
Germany,"Jul 1, 2020 @ 00:00:00.000",195418,8990,178100
Germany,"Jul 2, 2020 @ 00:00:00.000",195893,8995,179100
Germany,"Jul 3, 2020 @ 00:00:00.000",196370,9006,179800
Germany,"Jul 4, 2020 @ 00:00:00.000",196780,9010,180300
Germany,"Jul 5, 2020 @ 00:00:00.000",197198,9020,181000
Germany,"Jul 6, 2020 @ 00:00:00.000",197523,9023,181719
Germany,"Jul 7, 2020 @ 00:00:00.000",198064,9022,182160
Germany,"Jul 8, 2020 @ 00:00:00.000",198343,9032,182661
Germany,"Jul 9, 2020 @ 00:00:00.000",198699,9046,183153
Germany,"Jul 10, 2020 @ 00:00:00.000",199001,9057,183728
Germany,"Jul 11, 2020 @ 00:00:00.000",199332,9063,184028
Germany,"Jul 12, 2020 @ 00:00:00.000",199709,9070,184266
Germany,"Jul 13, 2020 @ 00:00:00.000",199919,9071,184414
Germany,"Jul 14, 2020 @ 00:00:00.000",200180,9074,185100
Germany,"Jul 15, 2020 @ 00:00:00.000",200456,9078,185100
Germany,"Jul 16, 2020 @ 00:00:00.000",200890,9080,186000
Germany,"Jul 17, 2020 @ 00:00:00.000",201450,9087,186400
Germany,"Jul 18, 2020 @ 00:00:00.000",202045,9088,186900
Germany,"Jul 19, 2020 @ 00:00:00.000",202426,9091,187200
Germany,"Jul 20, 2020 @ 00:00:00.000",202735,9092,187400
Germany,"Jul 21, 2020 @ 00:00:00.000",203325,9094,188070
Germany,"Jul 22, 2020 @ 00:00:00.000",203717,9099,188221
Germany,"Jul 23, 2020 @ 00:00:00.000",204276,9102,188628
Germany,"Jul 24, 2020 @ 00:00:00.000",204881,9110,189140
Germany,"Jul 25, 2020 @ 00:00:00.000",205623,9120,189696
Germany,"Jul 26, 2020 @ 00:00:00.000",206278,9124,189919
Germany,"Jul 27, 2020 @ 00:00:00.000",206667,9124,190055
Germany,"Jul 28, 2020 @ 00:00:00.000",207112,9125,190314
Germany,"Jul 29, 2020 @ 00:00:00.000",207707,9131,190711
Germany,"Jul 30, 2020 @ 00:00:00.000",208546,9135,191279
Germany,"Jul 31, 2020 @ 00:00:00.000",209535,9144,191551
Germany,"Aug 1, 2020 @ 00:00:00.000",210399,9147,191992
Germany,"Aug 2, 2020 @ 00:00:00.000",211005,9154,192636
Germany,"Aug 3, 2020 @ 00:00:00.000",211220,9154,192908
Germany,"Aug 4, 2020 @ 00:00:00.000",212111,9154,193594
Germany,"Aug 5, 2020 @ 00:00:00.000",212828,9163,194173
Germany,"Aug 6, 2020 @ 00:00:00.000",214113,9179,194568
Germany,"Aug 7, 2020 @ 00:00:00.000",215039,9181,195281
Germany,"Aug 8, 2020 @ 00:00:00.000",216196,9195,195935
Germany,"Aug 9, 2020 @ 00:00:00.000",216903,9201,196550
Germany,"Aug 10, 2020 @ 00:00:00.000",217288,9202,196783
Germany,"Aug 11, 2020 @ 00:00:00.000",218508,9203,197382
Germany,"Aug 12, 2020 @ 00:00:00.000",219540,9208,198347
Germany,"Aug 13, 2020 @ 00:00:00.000",220859,9213,198991
Germany,"Aug 14, 2020 @ 00:00:00.000",222281,9217,199654
Germany,"Aug 15, 2020 @ 00:00:00.000",223791,9230,200440
Germany,"Aug 16, 2020 @ 00:00:00.000",224488,9235,200756
Germany,"Aug 17, 2020 @ 00:00:00.000",225007,9235,201187
Germany,"Aug 18, 2020 @ 00:00:00.000",226700,9236,202249
Germany,"Aug 19, 2020 @ 00:00:00.000",228120,9241,203677
Germany,"Aug 20, 2020 @ 00:00:00.000",229706,9249,204454
Germany,"Aug 21, 2020 @ 00:00:00.000",231292,9263,205359
Germany,"Aug 22, 2020 @ 00:00:00.000",233029,9266,206656
Germany,"Aug 23, 2020 @ 00:00:00.000",233861,9272,207606
